ID,Slug,Name,PublicationStatus,Indexable,EngineIdentifier,EngineExists,UIComponentExists,ClaimsAuditMethod,SitemapIncluded,InboundRelatedToolLinks,PreviousEngineVerifiedFlag,FinalDisposition,ReviewerNotes
random-color,random-color,"Random Color Generator",published,true,RandomColorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
credit-card-validator,credit-card-validator,"Credit Card Validator",published,true,CreditCardValidatorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
phone-validator,phone-validator,"Phone Number Validator",published,true,PhoneValidatorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
url-validator,url-validator,"URL Validator",published,true,UrlValidatorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
ip-lookup,ip-lookup,"IP Lookup",published,true,IpLookupTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
dns-lookup,dns-lookup,"DNS Lookup",published,true,DnsLookupTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,3,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
whois-lookup,whois-lookup,"WHOIS Lookup",published,true,WhoisLookupTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
hmac-generator,hmac-generator,"HMAC Generator",published,true,HmacGeneratorTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
hex-to-rgb,hex-to-rgb,"HEX to RGB Converter",published,true,ColorConverterTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,2,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
rgb-to-hex,rgb-to-hex,"RGB to HEX Converter",published,true,ColorConverterTool,YES,YES,"Automated scan (no TODO/stub/placeholder patterns) + structural component-mapping check; not individually line-read against marketing copy",YES,1,false,ACTIVATE (engineVerified=true),"Corrected: real working component confirmed present and non-stub; engineVerified was stale (never set on this batch), now set true"
